[15,25]
            (0,0)
            (24,14) | (19,4) | (15,10)
            (1,0,1,10)
            (1,11,1,2)
            (0,14,15,1)
            (3,6,1,7)
            (2,4,3,1)
            (5,6,1,5)
            (5,13,1,2)
            (6,1,1,6)
            (3,2,3,1)
            (2,0,3,1)
            (8,0,1,5)
            (8,6,1,3)
            (7,8,1,6)
            (9,4,4,1)
            (9,6,8,1)
            (14,1,1,6)
            (10,1,1,1)
            (10,2,14,1)
            (12,0,1,1)
            (16,0,1,1)
            (18,1,1,1)
            (20,0,1,1)
            (22,1,1,1)
            (24,0,1,1)
            (22,4,3,1)
            (20,3,1,3)
            (19,5,2,1)
            (16,4,2,1)
            (18,4,1,5)
            (10,8,9,1)
            (10,9,1,2)
            (9,10,1,3)
            (10,12,3,1)
            (12,10,1,2)
            (13,10,2,1)
            (16,9,1,5)
            (14,12,2,1)
            (18,10,1,5)
            (19,10,1,1)
            (20,7,1,4)
            (22,6,1,8)
            (23,6,1,1)
            (24,8,1,1)
            (23,10,1,1)
            (24,12,1,1)
            (20,13,2,1)
